SENTENCE	FULL_CONTEXT	SLANG_TERM	ANNOTATOR_CONFIDENCE	MOVIE_ID	SENT_ID	REGION	YEAR	DEFINITION_SENTENCE	DEFINITION_SOURCE_URL	LITERAL_PARAPHRASE_OF_SLANG
I'll drop you and lover boy off.	Come on. <i> I'll drop you and lover boy off. </i> Raph?	lover boy	1	5510712	899	UK	2013			
Just flew in from' biza to check out my old mucker, the' coose.	International playboy. <i> Just flew in from' biza to check out my old mucker, the' coose. </i> Look, the new crew arrive on Monday.	mucker	1	3552835	121	UK	2008			
Come on, uh, let's do this.	I know that Felix would approve. <i> Come on, uh, let's do this. </i> Uh, Luke, it is, uh, Luke, right?	uh	1	5145968	296	UK	2012			
I'm a little fucked off with the tone everyone is taking with me in here.	Well, you know what, grandad? <i> I'm a little fucked off with the tone everyone is taking with me in here. </i> I came down...	fucked off	1	6244263	329	UK	2014			
- Fuck off and find her.	- She'll be here somewhere. <i> - Fuck off and find her. </i> - Leave me to my painkillers.	fuck off	1	5204705	812	UK	2012			
You can move back if you can pay us 50 quid a week.	Then I can move back into my old room. <i> You can move back if you can pay us 50 quid a week. </i> 'Tonight, haunted houses, ghost-hunting'and the search for life after death.	quid	3	3564173	96	UK	2008	money, pound sterling		pounds
They want him, and they're gonna say that you're not fit to care for him.	Good,' cause your parents aren't backing down. <i> They want him, and they're gonna say that you're not fit to care for him. </i> They want him in a home.	gonna	1	4473014	90	US	2011			
I think I met you, um, our senior year after that game against Drake.	Remember that? <i> I think I met you, um, our senior year after that game against Drake. </i> You have to remember that one.	um	1	4473014	355	US	2011			
I pop' em like candy.	Mellows things out. <i> I pop' em like candy. </i> I'm kiddin'.	pop em	1	5974299	456	US	2014			
Nose pressed up against the glass.	You want people to feel like they are really right up in there? <i> Nose pressed up against the glass. </i> Life's like a snow globe.	pressed	1	6441036	156	US	2013			
You know, actually I applied to work at Closet Queens but they said there's already a gorilla filling that position.	That explains a lot. <i> You know, actually I applied to work at Closet Queens but they said there's already a gorilla filling that position. </i> ( JIM CHUCKLES)	gorilla	1	5791518	866	US	2014			
"Why don't you"" bust a move"" back to 1990."	""" Chill pills""? <i> Why don't you"" bust a move"" back to 1990. </i> ( LAUREN LAUGHS)"	bust a move	1	5791518	435	US	2014			
You've cut yourself off from her for three weeks.	You've talked to your ex-wife every day since your divorce. <i> You've cut yourself off from her for three weeks. </i> And now you feel responsible for this kid's death.	cut yourself off	1	4185464	321	US	2011			
So tell me, man... am I close?	Your eyes snap open and the explosion at the end of the dream become the clap of thunder outside of your window. <i> So tell me, man... am I close? </i> Holy shit.	snap	1	5922900	318	US	2012			
If you could cross over here so easily, why didn't you just deliver the freaking bomb?	Wait. <i> If you could cross over here so easily, why didn't you just deliver the freaking bomb? </i> Why us?	freaking	2	5922900	1354	US	2012	"freaking"" is an intensifying adverb used as a euphemism for the stronger expletive ""fucking."" it is used to add emphasis or to express surprise, frustration, or excitement."		intensifying
The face he wore in the men's room, he couldn't take it off.	Being there and yet not there. <i> The face he wore in the men's room, he couldn't take it off. </i> Six days a week, he stood there,	face he wore	1	3618044	704	US	2009			
You know, and then I get kind of pissed off.	You know, that if she wasn't lying there, expecting it, wondering, like, evaluating, it wouldn't even occur to me. <i> You know, and then I get kind of pissed off. </i> I get so pissed off,	pissed off	2	3618044	65	US	2009	"""pissed off"" is a slang phrase used to describe a state of extreme anger, frustration, or annoyance."	https://www.urbandictionary.com/define.php?term=Pissed%20Off	angry
Now a picture has to make a killing the first weekend or they're dead.	I remember when nine movies would open in a month. <i> Now a picture has to make a killing the first weekend or they're dead. </i> This is supposed to be conducive to great work?	make a killing	2	5987878	1453	US	2006	"""make a killing"" is a slang expression that means to achieve great financial success or profit, especially in a short amount of time or through a particular venture or endeavor."		profit
Yo, somebody get up here and suck my man's dick so he can get the fuck up outta my spot before I kill him.	What, you're here to get your dick sucked? <i> Yo, somebody get up here and suck my man's dick so he can get the fuck up outta my spot before I kill him. </i> - Yo, did you hear what the fuck I said?	suck	1	3692182	2371	US	2009			
I thought that wasn't gonna work out.	I thought... <i> I thought that wasn't gonna work out. </i> What?	gonna	1	3692182	698	US	2009			
I'm warning you though, you're about to think that I'm really cool.	Your apartment. <i> I'm warning you though, you're about to think that I'm really cool. </i> My buddy made it.	cool	1	5836657	436	US	2014			
Who'd have thought that would catch on, eh?	Somebody get me out of here. <i> Who'd have thought that would catch on, eh? </i> Got an iPhone app with that on it now.	eh	1	4259257	2114	UK	2010			
- That's a nasty cold, Marie.	And up and out and shoulders and out... and down and out and lovely, Harold, keep going. <i> - That's a nasty cold, Marie. </i> - A nasty cold.	nasty	1	3357285	86	UK	2007			
Got a meat delivery man who looks fuck all like a meat delivery man and super Steven Roper heading up his welcome wagon.	It's the first Monday in March. <i> Got a meat delivery man who looks fuck all like a meat delivery man and super Steven Roper heading up his welcome wagon. </i> It's beginning to look a bit like Christmas.	welcome wagon	1	5204705	619	UK	2012			
This is gonna be so cool.	# One night to push and scream... <i> This is gonna be so cool. </i> # Ten days of perfect tunes, the colours red and blue	gonna	1	3552835	40	UK	2008			
Think you got rid of my old man offthat estate?	Sergeant Hicock. <i> Think you got rid of my old man offthat estate? </i> - Yeah.	old man	1	3666051	386	UK	2009			
I'm just gonna check it out.	I'm just gonna... <i> I'm just gonna check it out. </i> ALL:	gonna	1	4640913	1994	UK	2011			
Oh, it's going to be a bumpy ride to Heaven and back.	Oh, Jesus Christ. <i> Oh, it's going to be a bumpy ride to Heaven and back. </i> Get off me!	bumpy ride	1	5145968	9	UK	2012			
You fuckers, I swear to God I'll cut you!	Go on. <i> You fuckers, I swear to God I'll cut you! </i> So you're going to cut me, yeah?	fuckers	1	3552835	716	UK	2008			
When a man grows old and his balls grow cold, and the tip of his prick turns blue when it bends in the middle like a one-stringed fiddle, he can tell us a tale or two.	And a Happy New Year. <i> When a man grows old and his balls grow cold, and the tip of his prick turns blue when it bends in the middle like a one-stringed fiddle, he can tell us a tale or two. </i> What did Father Christmas bring?	balls	1	3564173	8	UK	2008			
That fucking uncle of yours took a ton of gear off me, and now he's gonna pay up.	( Indistinct) <i> That fucking uncle of yours took a ton of gear off me, and now he's gonna pay up. </i> We're going to pay you, man.	gonna	1	3666051	697	UK	2009			
Give me your fucking money, man!	! <i> Give me your fucking money, man! </i> ( Harry breathes heavily)	man	1	3666051	456	UK	2009			
You live on your own all your life, then they think it's a great idea to shove you together with a load of strangers.	Well, myself and the missus. <i> You live on your own all your life, then they think it's a great idea to shove you together with a load of strangers. </i> And what do the mummies on the bus say?	shove	1	3564173	358	UK	2008			
We're gonna run 14 miles tomorrow, and then I think we need to start pulling back by Sunday, okay?	I've had a hell of a day. <i> We're gonna run 14 miles tomorrow, and then I think we need to start pulling back by Sunday, okay? </i> Oh, shit.	pulling back	2	4473014	728	US	2011	"""pulling back"" is a slang phrase that refers to the act of reducing or decreasing one's efforts, intensity, or involvement in a particular activity or situation. it often implies taking a break, stepping back, or scaling down one's level of commitment or engagement."	https://www.urbandictionary.com/define.php?term=pulling%20back	reducing
Try getting jacked off under the table in front of the family and have some real problems.	- I wasn't crying like a little girl. <i> Try getting jacked off under the table in front of the family and have some real problems. </i> Jackass.	jacked off	1	3558591	1660	US	2005			
Why are you so afraid to grow up and be a man?	Why don't you and Yvette get a place together? <i> Why are you so afraid to grow up and be a man? </i> Leave the nest.	be a man	1	185218	487	US	2001			
You gotta really swing the ax hard to get those, uh, hits in deep.	ANNOUNCER: <i> You gotta really swing the ax hard to get those, uh, hits in deep. </i> - Hi, Jim.	gotta	1	5791518	38	US	2014			
We used to have gas.	What does that mean? <i> We used to have gas. </i> But now we're out.	gas	1	5791518	2034	US	2014			
You'll come up to half minus.	And stand by, bridge, to pick up the couple down right... or down left with cue ten. <i> You'll come up to half minus. </i> And then stand by, stage right, to switch our dancers here... or to switch our light walkers.	half minus	1	6173232	521	US	2014			
You want to know where your papa really was when you were in hospital with broke leg?	Whatever. <i> You want to know where your papa really was when you were in hospital with broke leg? </i> Do you want me to tell you the name of your soulmate?	papa	1	5922900	335	US	2012			
I'm not gonna stand by while some white fuzz from another dimension invades our world and infects every last man, woman and child.	My weapons. <i> I'm not gonna stand by while some white fuzz from another dimension invades our world and infects every last man, woman and child. </i> We're gonna go through that ghost door and clean house.	fuzz	1	5922900	1171	US	2012			
We have worked very hard for many years, suffered many tragic setbacks in an attempt to find and communicate with your world.	We have been awaiting your coming. <i> We have worked very hard for many years, suffered many tragic setbacks in an attempt to find and communicate with your world. </i> Your world, you see, is a twin to our own, dual offspring born of the same litter.	dual offspring born of the same litter	1	5922900	1254	US	2012			
Because this type's whole trip is that he's got to be the one giving the pleasure here.	No, sir, he will not, <i> Because this type's whole trip is that he's got to be the one giving the pleasure here. </i> Thank you very much, ma'am.	trip	2	3618044	247	US	2009			
